repo,total_score,classification,code_quality,git_history,technical_depth,documentation,completeness,red_flags
"AgenC_Moltbook_Agent",25,"ROUGH",6,11,0,8,0,0
"anamnesis",29,"ROUGH",8,11,0,10,2,-2
"anoma.cash",25,"ROUGH",6,11,0,6,2,0
"anon.social",27,"ROUGH",6,11,6,4,2,-2
"anon0mesh",12,"VIBE_CODED",4,11,0,4,3,-10
"anonset",21,"ROUGH",6,11,0,4,0,0
"Arcium-poker",29,"ROUGH",0,11,6,6,8,-2
"Arcshield",37,"ROUGH",5,11,6,10,5,0
"Attesta-Kit",35,"ROUGH",7,11,6,8,6,-3
"AURORAZK_SUBMISSION",43,"BASIC",4,11,15,10,5,-2
"chameo",36,"ROUGH",2,11,13,8,4,-2
"cleanproof-frontend",27,"ROUGH",4,11,3,8,3,-2
"cloakcraft",30,"ROUGH",5,11,13,10,6,-15
"confidential-balances-exploration",30,"ROUGH",6,11,0,10,3,0
"confpay",24,"ROUGH",2,11,6,10,5,-10
"cvct_payroll",32,"ROUGH",4,11,6,6,5,0
"Dark-Null-Protocol",31,"ROUGH",5,11,3,10,2,0
"DarkTip",32,"ROUGH",8,11,3,10,5,-5
"dart-light",25,"ROUGH",6,11,0,8,0,0
"deploy-shield",29,"ROUGH",6,11,0,10,2,0
"donatrade",30,"ROUGH",5,11,6,8,5,-5
"easy-stealth-address",30,"ROUGH",8,11,0,8,3,0
"ECHO",28,"ROUGH",7,11,0,8,2,0
"encryptedMessagingChat",34,"ROUGH",6,11,6,8,3,0
"epoch",24,"ROUGH",3,11,6,6,0,-2
"ExposureCheck",19,"VIBE_CODED",6,11,0,2,2,-2
"flash-loan-pinocchio",23,"ROUGH",6,11,3,1,2,0
"FleekerFun",22,"ROUGH",5,11,0,6,0,0
"flew-private-prediction-market",33,"ROUGH",4,11,6,6,8,-2
"GhostSpeak",28,"ROUGH",4,11,3,10,8,-8
"Hidemypass",25,"ROUGH",3,11,3,8,2,-2
"human-rail",36,"ROUGH",5,11,6,10,6,-2
"hushfold",9,"VIBE_CODED",6,3,0,0,0,0
"hydentity",31,"ROUGH",4,11,9,10,5,-8
"incognito-program",35,"ROUGH",4,11,9,6,6,-1
"incognito-protocol",23,"ROUGH",2,11,6,4,0,0
"Keyed",25,"ROUGH",2,11,6,8,3,-5
"LeakLens",23,"ROUGH",3,11,0,6,3,0
"light-protocol-arcium-experiment",31,"ROUGH",2,11,11,2,5,0
"LioraOS-Claude-SDK",27,"ROUGH",6,11,0,8,2,0
"lynq-frontend",26,"ROUGH",7,11,0,6,2,0
"MINTGHOST---ZK-NFT-Minting",27,"ROUGH",2,11,13,8,6,-13
"mist-cli",25,"ROUGH",6,11,0,8,0,0
"mootvote",34,"ROUGH",2,11,13,4,6,-2
"Mukon-messenger",31,"ROUGH",2,11,6,10,5,-3
"nahualli",40,"BASIC",4,11,15,10,2,-2
"noir_solana",27,"ROUGH",6,11,4,6,0,0
"noir-solana-private-transfers",42,"BASIC",6,11,15,8,2,0
"noir-solana-test-implementation",32,"ROUGH",7,11,9,10,0,-5
"OBSCURA_APP",29,"ROUGH",2,11,13,10,6,-13
"OBSCURA-PRIVACY",29,"ROUGH",2,11,13,10,6,-13
"Obsidian",33,"ROUGH",5,11,6,8,8,-5
"opencoins",24,"ROUGH",4,11,0,6,3,0
"paraloom-core",39,"ROUGH",4,11,9,10,8,-3
"pescrow",25,"ROUGH",6,11,3,3,2,0
"pigeon",29,"ROUGH",6,11,6,6,0,0
"pincon",24,"ROUGH",8,11,3,0,2,0
"PNPFUCIUS",28,"ROUGH",6,11,0,8,3,0
"privacy-cash-api",28,"ROUGH",4,11,3,8,2,0
"privacy-execution-layer",31,"ROUGH",6,11,13,8,6,-13
"privacy-pay",28,"ROUGH",5,11,0,10,2,0
"privacy-vault",37,"ROUGH",2,11,13,10,1,0
"privacylens",26,"ROUGH",9,11,0,8,3,-5
"private-dao-voting",42,"BASIC",4,11,15,10,2,0
"private-state-toolkit-for-solana",36,"ROUGH",6,11,6,8,5,0
"Privatepay",27,"ROUGH",6,11,0,8,2,0
"privatepussy",25,"ROUGH",6,11,3,10,2,-7
"PrivyLocker",39,"ROUGH",6,11,6,10,6,0
"program",34,"ROUGH",4,11,9,8,5,-3
"Protocol-01",40,"BASIC",8,11,13,10,11,-13
"psol-v2",33,"ROUGH",2,11,13,8,3,-4
"psychat-solana",31,"ROUGH",6,11,6,8,5,-5
"QN-Privacy-Gateway",28,"ROUGH",7,11,0,8,2,0
"rentreclaim-privacy",30,"ROUGH",6,11,0,8,5,0
"rollcast-network",20,"ROUGH",6,11,0,3,0,0
"safesol",41,"BASIC",5,11,13,10,5,-3
"sapp",19,"VIBE_CODED",2,11,0,8,0,-2
"Scope-privacy-engine",22,"ROUGH",6,11,0,6,2,-3
"Secp256r1-vault-pinocchio",31,"ROUGH",5,11,3,10,2,0
"Secret-Battle-Encrypted-Duel",23,"ROUGH",6,11,0,6,0,0
"seedpay-solana-privacy-hack",26,"ROUGH",6,11,6,1,2,0
"SHadoW-BID-PAYments",18,"VIBE_CODED",6,11,0,1,0,0
"shadow-fence",43,"BASIC",6,11,11,10,5,0
"shadow-markets",44,"BASIC",6,11,15,10,2,0
"shadow-tracker",20,"ROUGH",3,11,3,8,2,-7
"shadow",44,"BASIC",7,11,15,8,5,-2
"shadowwire-privacy-solana",23,"ROUGH",4,11,0,8,5,-5
"Shielded-Phosyn",18,"VIBE_CODED",6,11,0,1,0,0
"shielded-pool-pinocchio-solana",32,"ROUGH",6,11,7,8,0,0
"shieldedremit",25,"ROUGH",6,11,0,8,2,-2
"Shinade",22,"ROUGH",6,11,0,3,2,0
"Silent-Rails",37,"ROUGH",6,11,6,6,8,0
"sip-app",29,"ROUGH",10,11,3,8,5,-8
"sip-mobile",33,"ROUGH",8,11,3,8,8,-5
"sip-protocol",34,"ROUGH",6,11,15,10,5,-13
"sip-website",35,"ROUGH",8,11,3,10,8,-5
"solana-agent-cash",32,"ROUGH",12,11,0,6,3,0
"solana-AI-FHE-services-engagement-contract",22,"ROUGH",6,11,0,3,2,0
"solana-compliance-relayer",28,"ROUGH",4,11,0,10,6,-3
"solana-confidential-transfer-typescript",25,"ROUGH",4,11,3,5,2,0
"solana-conviction-markets",32,"ROUGH",3,11,6,6,6,0
"solana-exposure-scanner",25,"ROUGH",4,11,0,10,2,-2
"solana-pinocchio-amm-workshop",20,"ROUGH",5,11,0,4,0,0
"solana-pqzk-fullchain",33,"ROUGH",4,11,6,10,5,-3
"Solana-Privacy-Hack-",20,"ROUGH",6,11,0,3,0,0
"solana-privacy-hack-backend",21,"ROUGH",8,11,0,0,2,0
"solana-privacy-hack-frontend",23,"ROUGH",6,11,0,4,2,0
"solana-privacy-hack",16,"VIBE_CODED",2,11,3,0,0,0
"Solana-Privacy-Hackathon-2026",17,"VIBE_CODED",6,11,0,0,0,0
"solana-privacy-rpc",28,"ROUGH",7,11,6,8,3,-7
"solana-privacy-scanner",24,"ROUGH",4,11,0,6,5,-2
"solana-privacy-shield",23,"ROUGH",3,11,4,4,3,-2
"solana-program-vault",23,"ROUGH",6,11,0,6,0,0
"Solana-Programs",22,"ROUGH",3,11,6,0,2,0
"Solana-Vault-Escrow-Pinocchio",26,"ROUGH",7,11,3,6,2,-3
"solana-vault-standard",27,"ROUGH",2,11,9,10,3,-8
"solana-zklogin",29,"ROUGH",6,11,7,3,2,0
"solanaNoirWXMR",38,"ROUGH",4,11,15,8,0,0
"SolanaPrivacyHackathon2026",43,"BASIC",6,11,15,10,8,-7
"SolanaPrivacyKit",27,"ROUGH",6,11,4,4,5,-3
"solprivacy-cli",25,"ROUGH",4,11,0,10,2,-2
"SolsticeProtocol",42,"BASIC",8,11,13,10,0,0
"SolVoid",41,"BASIC",6,11,13,8,8,-5
"stealth-rails-SDK",25,"ROUGH",5,11,0,8,1,0
"StealthPay",25,"ROUGH",5,11,0,10,2,-3
"stealthsuo",27,"ROUGH",6,11,0,8,2,0
"styx-stack-Solana-",17,"VIBE_CODED",5,11,3,6,2,-10
"tele-pediatric-privacy-shield",23,"ROUGH",4,11,0,8,5,-5
"triton-privacy-solana",25,"ROUGH",3,11,6,6,2,-3
"unified-trust-protocol-sdk",21,"ROUGH",6,11,0,4,0,0
"uranix",19,"VIBE_CODED",6,11,0,0,2,0
"vapor-tokens",43,"BASIC",4,11,15,8,5,0
"vault-pinocchio",23,"ROUGH",6,11,3,1,2,0
"Veil-SDK",26,"ROUGH",7,11,0,6,2,0
"veil",23,"ROUGH",0,11,9,10,3,-10
"veilvote",34,"ROUGH",4,11,6,8,5,0
"velum",23,"ROUGH",4,11,0,8,2,-2
"vex-zk",35,"ROUGH",5,11,10,8,3,-2
"vielProof",33,"ROUGH",6,11,8,6,2,0
"voizen-core",28,"ROUGH",6,11,0,8,3,0
"wavis-protocol",36,"ROUGH",3,11,6,8,8,0
"yieldcash-solana-privacy",44,"BASIC",4,11,15,8,6,0
"zelana",18,"VIBE_CODED",1,11,9,4,3,-10
"zk-coprocessor-bridge",36,"ROUGH",7,11,10,8,0,0
"zk-disorder",27,"ROUGH",6,11,0,8,2,0
"zk-lense",33,"ROUGH",5,11,7,10,0,0
"zk-playground",30,"ROUGH",8,11,3,8,3,-3
"ZKPMTD",28,"ROUGH",2,11,3,10,2,0
"zkprof",26,"ROUGH",3,11,4,6,2,0
"zmix",26,"ROUGH",4,11,7,4,2,-2
"ZorroZk",27,"ROUGH",6,11,7,3,0,0
